timestamp,model,word,tokens_in,tokens_out,cost_usd,cached
2026-08-03 19:28:12,claude-haiku-4-5-20251001,猫,858,110,0.001408,False
2026-08-03 19:28:17,gpt-4.1-mini,猫,230,29,0.0001384,False
2026-08-03 19:28:19,qwen/qwen-plus,猫,143,40,0.00010520000000000001,False
2026-08-03 19:31:40,claude-haiku-4-5-20251001,籍贯,860,137,0.001545,False
2026-08-03 19:31:42,claude-haiku-4-5-20251001,展望,858,120,0.001458,False
2026-08-03 19:31:44,claude-haiku-4-5-20251001,自满,858,135,0.001533,False
2026-08-03 19:31:46,claude-haiku-4-5-20251001,国籍,859,120,0.001459,False
2026-08-03 19:31:48,claude-haiku-4-5-20251001,埋没,859,145,0.001584,False
2026-08-03 19:31:50,claude-haiku-4-5-20251001,瞻仰,861,136,0.001541,False
2026-08-03 19:31:52,claude-haiku-4-5-20251001,诽谤,860,127,0.0014949999999999998,False
2026-08-03 19:31:54,claude-haiku-4-5-20251001,炉灶,860,149,0.001605,False
2026-08-03 19:31:56,claude-haiku-4-5-20251001,玩弄,860,139,0.001555,False
2026-08-03 19:31:57,claude-haiku-4-5-20251001,威信,858,125,0.001483,False
2026-08-03 19:31:59,claude-haiku-4-5-20251001,正负,858,121,0.0014629999999999999,False
2026-08-03 19:32:01,claude-haiku-4-5-20251001,霞,858,131,0.001513,False
2026-08-03 19:32:03,claude-haiku-4-5-20251001,风味,858,121,0.0014629999999999999,False
2026-08-03 19:32:06,claude-haiku-4-5-20251001,投机,858,134,0.001528,False
2026-08-03 19:32:08,claude-haiku-4-5-20251001,衷心,859,119,0.001454,False
2026-08-03 19:32:09,claude-haiku-4-5-20251001,支流,858,123,0.0014730000000000001,False
2026-08-03 19:32:11,claude-haiku-4-5-20251001,挥霍,860,132,0.00152,False
2026-08-03 19:32:14,claude-haiku-4-5-20251001,挎,858,121,0.0014629999999999999,False
2026-08-03 19:32:16,claude-haiku-4-5-20251001,照常,858,122,0.0014680000000000001,False
2026-08-03 19:32:18,claude-haiku-4-5-20251001,交际,858,125,0.001483,False
2026-08-03 19:32:20,claude-haiku-4-5-20251001,督促,858,131,0.001513,False
2026-08-03 19:32:22,claude-haiku-4-5-20251001,埋葬,860,119,0.0014550000000000001,False
2026-08-03 19:32:24,claude-haiku-4-5-20251001,绅士,859,137,0.0015439999999999998,False
2026-08-03 19:32:26,claude-haiku-4-5-20251001,窄,858,119,0.001453,False
2026-08-03 19:32:28,claude-haiku-4-5-20251001,反感,858,129,0.001503,False
2026-08-03 19:32:30,claude-haiku-4-5-20251001,理睬,859,115,0.001434,False
2026-08-03 19:32:32,claude-haiku-4-5-20251001,让步,858,126,0.0014880000000000002,False
2026-08-03 19:32:33,claude-haiku-4-5-20251001,毅力,859,147,0.001594,False
2026-08-03 19:32:38,claude-haiku-4-5-20251001,油漆,859,114,0.001429,False
2026-08-03 19:32:40,claude-haiku-4-5-20251001,向导,858,134,0.001528,False
2026-08-03 19:32:42,claude-haiku-4-5-20251001,旋律,859,123,0.001474,False
2026-08-03 19:32:44,claude-haiku-4-5-20251001,镇定,859,143,0.0015739999999999999,False
2026-08-03 19:32:46,claude-haiku-4-5-20251001,领土,858,120,0.001458,False
2026-08-03 19:32:49,claude-haiku-4-5-20251001,怠慢,860,128,0.0015,False
2026-08-03 19:32:51,claude-haiku-4-5-20251001,若干,858,121,0.0014629999999999999,False
2026-08-03 19:32:54,claude-haiku-4-5-20251001,把戏,859,125,0.001484,False
2026-08-03 19:32:56,claude-haiku-4-5-20251001,悬挂,860,131,0.001515,False
